Town,Population,Income,Gini,Race,HouseholdSize,AgricultureEmployment,Liters,LitersCapita,TotalPopulationServed
Compton,97040,17680,0.4136,35.68837593,4.1775367,0.710464247,844934114.9,10308.72607,81963
La Verne,31336,32452,0.4301,75.32231299,2.910915002,0.553623394,886958794.2,27521.37254,32228
Fullerton,136702,27202,0.457,55.05917982,3.093785362,0.308665912,2955998917,21420.28201,138000
Sierra Madre,10983,47987,0.4486,76.53646545,2.413846154,0.127087872,256119882.7,23086.34241,11094
Norwalk,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,211755977.2,11532.9218,18361
Glendora,50500,31964,0.4174,77.85148515,3.055236251,0.484631505,1260246986,24488.40887,51463
Rosamond,18700,27375,0.4083,68.09090909,3.143385443,0.49894958,289205517.6,16339.29478,17700
Groveland,706,15991,0.391,95.89235127,2.255591054,0,49146147.21,14454.74918,3400
Paramount,54468,20416,0.3847,37.46787104,3.939534211,0.407239819,676564032.1,12289.76825,55051
Pasadena,138004,32400,0.5008,63.70974754,2.504155326,0.276496375,3916547156,23525.34902,166482
Vernon,60,18194,0.5312,23.33333333,2.857142857,2.941176471,753274181.9,6725662.339,112
Palo Alto,65234,64167,0.5027,65.10102094,2.487094437,0.32951058,1234492210,19168.24076,64403
Rialto,100479,21105,0.3886,58.37538192,4.028021648,0.300791557,1151404670,21308.1033,54036
Santa Paula,29687,21741,0.4359,62.65031832,3.614635334,15.79497068,442128736,14733.20457,30009
South Pasadena,25747,50755,0.4456,55.73853264,2.518783017,0.220945647,408282032.2,15764.39369,25899
West Sacramento,49061,26028,0.4353,63.40474104,2.813937482,1.507092199,1353128064,26617.51641,50836
Fallbrook,30283,26577,0.4679,77.92821055,2.919969145,7.647710802,1353744805,38795.9192,34894
Morgan Hill,38832,38180,0.445,68.35341986,3.06754088,1.256937643,790980876.1,18932.49901,41779
Valley Center,10712,32115,0.3629,82.94436146,3.441053646,1.929325751,3073216565,120717.1249,25458
Redwood City,78241,36877,0.4573,73.48321213,2.815741174,0.373574025,855613554.8,9756.585874,87696
Lemoore,24616,26723,0.4377,70.01949951,3.049554014,6.144437973,903994367.3,35757.85639,25281
Reedley,24562,18195,0.4048,56.18842114,3.945069065,26.95324757,590524355.3,24407.88441,24194
Bay Point,21582,20669,0.4269,52.45111667,3.384350008,0.766064487,188722510.3,8478.861997,22258
Glendale,193381,22633,0.4877,75.08183327,2.733145829,0.125975474,2570696626,13298.99962,193300
Culver City,39105,42947,0.4432,64.55696203,2.35501355,0.632697416,557039775.6,15381.46557,36215
Galt,23997,25935,0.3768,70.18377297,3.144261006,5.826558266,584846236.5,24078.64616,24289
Orcutt,30212,32008,0.3851,86.77015755,2.739571999,4.615625735,603912033.1,18948.04321,31872
Inglewood,110585,22857,0.4463,27.7352263,3.032966732,0.575512269,984379080.9,11390.90329,86418
Susanville,17001,17372,0.4266,66.06081995,3.968487395,2.233375157,383443362.7,42709.21838,8978
Red Bluff,14071,18078,0.4372,89.61694265,2.762811702,4.417670683,477623139.5,33931.73767,14076
El Segundo,16760,45064,0.4017,81.44988067,2.484803558,0.277161863,936081628.6,56207.61551,16654
