"","Supplier.Name","Total.Population","Median.Income","Gini.Index","White.Proportion..in...","Household.Size","Agriculture.Employement..in...","liters.2014.2015","liters.2014.2015.capita","Month","Year","Total.Population.Served"
"124","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"125","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"126","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"127","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"128","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"129","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"130","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"131","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"132","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"133","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"134","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"135","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"136","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
"137","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"138","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"139","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"140","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"141","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"142","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"143","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"144","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"145","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"146","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"147","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"148","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"149","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"150","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"151","Dublin",47642,51072,0.3598,55.36291507,3.067739858,0.549141696,"Dublin","Dublin","Dublin","Dublin","Dublin"
"152","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"56128294838","13988.32871","Aug","15","4012509"
"153","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"53324593753","13301.37331","Jul","15","4008954"
"154","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"51608822434","12884.81755","Jun","15","4005398"
"155","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"49788205275","12441.31898","May","15","4001843"
"156","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"49983095188","12501.12428","Apr","15","3998288"
"157","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"50217456475","12616.81102","Mar","15","3980202"
"158","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"42587146352","10708.38389","Feb","15","3976991"
"159","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"47408821469","11930.4062","Jan","15","3973781"
"160","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"41636132917","10486.1827","Dec","14","3970571"
"161","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"50057104016","12617.23262","Nov","14","3967360"
"162","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"59260101725","14949.0059","Oct","14","3964150"
"163","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"59006004751","14896.9701","Sep","14","3960940"
"164","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"60646533762","15323.56909","Aug","14","3957729"
"165","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"62766886672","15872.19246","Jul","14","3954519"
"166","Los Angeles",3827261,22717,0.5257,52.4148732,2.897333,0.462933171,"61390322479","15536.70505","Jun","14","3951309"
"167","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"168","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"169","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"170","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"171","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"172","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"173","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"174","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"175","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"176","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"177","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"178","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"179","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"180","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"181","El Dorado Hills",44206,51578,0.3846,82.40057911,3.023252633,0.281548517,"El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills","El Dorado Hills"
"182","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"914071135.5","20628.53773","Aug","15","44311"
"183","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"861597746.9","19444.33091","Jul","15","44311"
"184","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"859780748.9","19403.32533","Jun","15","44311"
"185","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"807769180.7","18011.6659","May","15","44847"
"186","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"769763638.8","17371.84083","Apr","15","44311"
"187","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"678913738","15321.5621","Mar","15","44311"
"188","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"575042018.1","12977.41008","Feb","15","44311"
"189","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"582120739.5","13137.16096","Jan","15","44311"
"190","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"567225141.2","12801.00068","Dec","14","44311"
"191","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"733310116.1","16549.16649","Nov","14","44311"
"192","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"827604742.4","18677.18495","Oct","14","44311"
"193","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"894833669","20194.39121","Sep","14","44311"
"194","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"933388095.6","21064.47825","Aug","14","44311"
"195","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"1095460533","24722.09007","Jul","14","44311"
"196","El Centro",42888,18229,0.4845,65.21637754,3.318220503,6.563513851,"1023212150","23091.60591","Jun","14","44311"
"197","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"967709356","13664.93012","Aug","15","70817"
"198","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"1052215133","14858.228","Jul","15","70817"
"199","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"955046939.1","13486.12535","Jun","15","70817"
"200","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"932992474.6","13174.69639","May","15","70817"
"201","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"899207152.9","12697.61714","Apr","15","70817"
"202","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"774460260.7","10936.07835","Mar","15","70817"
"203","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"815712217.8","11518.59324","Feb","15","70817"
"204","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"792457202.1","11190.21142","Jan","15","70817"
"205","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"824342595","11640.46197","Dec","14","70817"
"206","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"1087243478","15352.85987","Nov","14","70817"
"207","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"1002525340","14156.56325","Oct","14","70817"
"208","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"1002525340","14156.56325","Sep","14","70817"
"209","Milpitas",67695,34266,0.3992,21.13597755,3.465318659,0.166352793,"1239311403","17500.19633","Aug","14","70817"
